,Name,Variation,DIY,Buy,Sell,Source,Source Notes,Catalog,Tab,Tag,Customize,Cyrus,Image,HHP Source
3901,garbage can,[nan],No,960,240,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Supplies,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrPaleTinplate.png'],"['Jacob', 'Billy', 'Rocco', 'Hippeux', 'Cephalobot', 'Roald', 'Chabwick', 'Bonbon', 'Peanut', 'Chief', 'Restaurant']"
3902,garbage pail,[nan],No,1000,250,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Supplies,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrPale.png'],"['Ace', 'Kody', 'Ava', 'Boots', 'Shep', 'Jeremiah', 'Billy', 'Cesar', 'Boyd', 'Violet', 'Leopold', 'Nana', 'Simon', 'Broccolo', 'Chadder', 'Chabwick', 'Snake', 'Renée', 'Wolfgang', 'Freya', 'Restaurant']"
3903,garden bench,Black,Yes,NFS,4440,Crafting,,Not for sale,housewares,Sofa,True,True,https://acnhcdn.com/latest/FtrIcon/FtrParkbenche_Remake_0_0.png,"['Anabelle', 'Beardo', 'Broffina', 'Norma', 'Naomi', 'Boots', 'Beau', 'Annalise', 'Colton', 'Nana', 'Julia', 'Wade', 'Maggie', 'Dotty', 'Cally', 'Poppy', 'Sheldon', 'Ione']"
3904,garden chair,White,No,960,240,Nook's Cranny; HHP Office,,For sale,housewares,Chair,False,True,https://acnhcdn.com/latest/FtrIcon/FtrGardenchair_Remake_0_0.png,"['Snooty', 'Beardo', 'Angus', 'Katt', 'Maple', 'Patty', 'Tipper', 'Beau', 'Butch', 'Mac', 'Bill', 'Joey', 'Pompom', 'Scoot', 'Ketchup', 'Sherb', 'Flurry', 'Bubbles', 'Rory', 'Nana', 'Simon', 'Flip', 'Amelia', 'Keaton', 'Hopper', 'Maggie', 'Dotty', ""O'Hare"", 'Frita', 'Pietro', 'Fang']"
3905,garden faucet,"['Red brick', 'Mosaic tile', 'Wooden', 'Concrete', 'Stainless']",No,1900,475,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Garden,False,True,"['https://acnhcdn.com/latest/FtrIcon/FtrWaterview_Remake_0_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrWaterview_Remake_1_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrWaterview_Remake_2_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrWaterview_Remake_3_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrWaterview_Remake_4_0.png']","['Cyrano', 'Beardo', 'Coach', 'Boots', 'Butch', 'Biskit', 'Pompom', 'Scoot', 'Ketchup', 'Ribbot', 'Hamlet', 'Carrie', 'Sylvia', 'Marcie', 'Leopold', 'Nana', 'Simon', 'Dora', 'Broccolo', 'Moose', 'Dotty', 'Cally', 'Tybalt', 'Leonardo', 'Chief', 'Start']"
3906,garden lantern,"['Black', 'White', 'Bronze']",No,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Lamp,False,True,"['https://acnhcdn.com/latest/FtrIcon/FtrLampGarden_Remake_0_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrLampGarden_Remake_1_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrLampGarden_Remake_2_0.png']","['Curt', 'Beardo', 'Kitty', 'Boots', 'Chelsea', 'Bea', 'Pompom', 'Clay', 'Gonzo', 'Nana', 'Amelia', 'Maggie', 'Dotty', 'Timbra']"
3907,garden rock,,Yes,NFS,2250,Crafting,,Not for sale,housewares,Japanese Style,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGardenrock.png,"['Admiral', 'Ken', 'Lucky', 'Marcel', 'Mallary', 'Freckles', 'Wart Jr.', 'Huck', 'Louie', 'Hippeux', 'Walt', 'Tiansheng', 'Gladys', 'Apollo', 'Buzz', 'Avery', 'Maggie', 'Coco', 'Genji', 'Toby', 'Rolf']"
3908,garden table,White,No,1600,400,Nook's Cranny; HHP Office,,For sale,housewares,Table,False,True,https://acnhcdn.com/latest/FtrIcon/FtrGardenTable_Remake_0_0.png,"['Snooty', 'Beardo', 'Angus', 'Katt', 'Maple', 'Patty', 'Tipper', 'Beau', 'Butch', 'Mac', 'Bill', 'Joey', 'Pompom', 'Scoot', 'Ketchup', 'Sherb', 'Flurry', 'Bubbles', 'Rory', 'Nana', 'Simon', 'Flip', 'Amelia', 'Keaton', 'Hopper', 'Maggie', 'Dotty', ""O'Hare"", 'Frita', 'Pietro']"
3909,garden wagon,Brown,Yes,NFS,3180,Crafting,,Not for sale,housewares,Plants,True,True,https://acnhcdn.com/latest/FtrIcon/FtrGardenwagon_Remake_0_0.png,"['Ursala', 'Charlise', 'Bob', 'Norma', 'Biskit', 'Bea', 'Pompom', 'Pashmina', 'Annalise', 'Carrie', 'Shari', 'Penelope', 'Amelia', 'Aurora', 'Maggie', 'Dotty', 'Pietro', 'Caroline', 'Sheldon']"
3910,gas range,"['Silver', 'White', 'Red', 'Blue', 'Black']",No,3500,875,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Kitchen,False,True,"['https://acnhcdn.com/latest/FtrIcon/FtrKitchenOven_Remake_0_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrKitchenOven_Remake_1_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrKitchenOven_Remake_2_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrKitchenOven_Remake_3_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrKitchenOven_Remake_4_0.png']","['Angus', 'Kiki', 'Barold', 'Tammy', 'Goose', 'Bam', 'Goldie', 'Benjamin', 'Ketchup', 'Paolo', 'Axel', 'Cyd', 'Rilla', 'Monty', 'Deli', 'Dora', 'Bettina', 'Petri', 'Hugh', 'Eunice', 'Willow', 'Sylvana', 'Freya', 'Restaurant']"
3911,gazebo,White,No,NFS,25000,Nook Miles Redemption,,Not for sale,housewares,Arch,False,True,https://acnhcdn.com/latest/FtrIcon/FtrWesternGazebo_Remake_0_0.png,"['Beardo', 'Robin', 'Opal', 'Chai', 'Marlo', 'Peaches', 'Julian', 'Lionel', 'Penelope', 'Amelia', 'Celia', 'Maggie', 'Pancetti', 'Agnes', 'Dotty', 'Tiffany', 'Cole', 'Muffy', 'Pietro', 'Ione']"
3912,gear apparatus,Silver,Yes,NFS,2250,Crafting,,Not for sale,housewares,Facility Decor,True,True,https://acnhcdn.com/latest/FtrIcon/FtrGearVertical_Remake_0_0.png,"['Roswell', 'Frobert', 'Samson', 'Cephalobot', 'Sprocket', 'Phil', 'Boomer', 'Kevin', 'Mira', 'Static']"
3913,gear tower,Silver,Yes,NFS,3000,Crafting,,Not for sale,housewares,Facility Decor,True,True,https://acnhcdn.com/latest/FtrIcon/FtrGearHorizontal_Remake_0_0.png,"['Roswell', 'Frobert', 'Samson', 'Cephalobot', 'Sprocket', 'Phil', 'Boomer', 'Kevin']"
3914,Gemini closet,,Yes,NFS,22200,Crafting,,Not for sale,housewares,Chest,False,False,https://acnhcdn.com/latest/FtrIcon/FtrZodiacGemini.png,"['Alfonso', 'Julian', 'Celia', 'Tiffany', 'Sasha', 'Timbra', 'Pietro']"
3915,giant ornament,Red,Yes,NFS,1000,Crafting,,Not for sale,housewares,Seasonal Decor,True,True,https://acnhcdn.com/latest/FtrIcon/FtrOrnamentBig_Remake_0_0.png,"['Peaches', 'Curlos']"
3916,giant teddy bear,Cream,Yes,NFS,6300,Crafting,,Not for sale,housewares,Animal,True,True,https://acnhcdn.com/latest/FtrIcon/FtrBearXL_Remake_0_0.png,"['Maple', 'Gruff', 'Poppy', 'Bangle']"
3917,giant vine,Green,Yes,NFS,2500,Crafting,,Not for sale,housewares,Plants,True,True,https://acnhcdn.com/latest/FtrIcon/FtrBeanstalk_Remake_0_0.png,"['Rodeo', 'Vic', 'Roswell', 'Sly', 'Lucky', 'Camofrog', 'Diva', 'Louie', 'Savannah', 'Julian', 'Yuka', 'Rex', 'Maggie', 'Dotty', 'Bonbon']"
3918,gift pile,Red & green,Yes,NFS,660,Crafting,,Not for sale,housewares,Seasonal Decor,True,True,https://acnhcdn.com/latest/FtrIcon/FtrCrsPresents_Remake_0_0.png,
3919,glass showcase,White,No,12000,3000,Nook's Cranny; HHP Office,,For sale,housewares,Shop,False,True,https://acnhcdn.com/latest/FtrIcon/FtrDisplayClothesGlass_Remake_0_0.png,"['Midge', 'Raymond', 'Maelle', 'Apparel Shop']"
3920,glowing-moss balloon,Green,Yes,NFS,1250,Crafting,,Not for sale,housewares,Plants,True,True,https://acnhcdn.com/latest/FtrIcon/FtrLuMossBalloon_Remake_0_0.png,"['Anabelle', 'Rodeo', 'Alli', 'Roswell', 'Lily', 'Victoria', 'Peaches', 'Hopkins', 'Bonbon', 'Azalea']"
3921,glowing-moss boulder,Green,Yes,NFS,750,Crafting,,Not for sale,housewares,Ranch,True,True,https://acnhcdn.com/latest/FtrIcon/FtrLuMossTable_Remake_0_0.png,"['Rodeo', 'Vic', 'Vladimir', 'Sly', 'Chelsea', 'Freckles', 'Lily', 'Prince', 'Diva', 'Yuka', 'Mathilda', 'Tiansheng', 'Octavian', 'Apollo', 'Coco', 'Bonbon', 'Baabara', 'Sally']"
3922,glowing-moss pond,Turquoise,Yes,NFS,3000,Crafting,,Not for sale,housewares,Ranch,True,True,https://acnhcdn.com/latest/FtrIcon/FtrLuMossFountain_Remake_0_0.png,"['Anabelle', 'Klaus', 'Rodeo', 'Vic', 'Roswell', 'Sly', 'Chelsea', 'Pompom', 'Diva', 'Louie', 'Julian', 'Tiansheng', 'Penelope', 'Apollo', 'Avery', 'Maggie', 'Bonbon', 'Kyle']"
3923,glowing-moss statue,Gray,Yes,NFS,1450,Crafting,,Not for sale,housewares,Folk Craft Decor,True,True,https://acnhcdn.com/latest/FtrIcon/FtrLuMossStatue_Remake_0_0.png,"['Anabelle', 'Vic', 'Ankha', 'Vladimir', 'Sly', 'Samson', 'Apollo', 'Avery', 'Bonbon', 'Static', 'Kyle']"
3924,glowing-moss stool,Green,Yes,NFS,400,Crafting,,Not for sale,housewares,Chair,True,True,https://acnhcdn.com/latest/FtrIcon/FtrLuMossChair_Remake_0_0.png,"['Rodeo', 'Vic', 'Vladimir', 'Roswell', 'Sly', 'Chelsea', 'Freckles', 'Lily', 'Diva', 'Peaches', 'Yuka', 'Mathilda', 'Octavian', 'Apollo', 'Bonbon', 'Azalea', 'Sally']"
3925,glowing-moss-jar shelves,Silver,Yes,NFS,5400,Crafting,,Not for sale,housewares,Plants,True,True,https://acnhcdn.com/latest/FtrIcon/FtrLuMossShelf_Remake_0_0.png,"['Rodeo', 'Tabby', 'Sly', 'Dora', 'Cobb', 'Dotty']"
3926,go board,[nan],No,1800,450,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Toy,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrGo.png'],"['Admiral', 'Kabuki', 'Derwin', 'Wart Jr.', 'Genji', 'Tank', 'Dobie']"
3927,Goal Pole,[nan],No,3500,875,Nook Shopping Promotion,Not available before March 1st 2021,Not in catalog,housewares,Mario,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrMarioFablic.png'],
3928,gold-nugget mining car,,Yes,NFS,30950,Crafting,,Not for sale,housewares,Ranch,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldTrolley.png,"['Grizzly', 'Vladimir', 'Rod', 'Rowan']"
3929,golden altar,,Yes,NFS,52250,Crafting,,Not for sale,housewares,Folk Craft Decor,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldAltar.png,"['Grizzly', 'Ankha', 'Elvis', 'Samson', 'Rowan']"
3930,golden bathtub,,Yes,NFS,21725,Crafting,,Not for sale,housewares,Bathtub,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldBathSquare.png,"['Grizzly', 'Pudge', 'Elvis', 'Pierce', 'Muffy', 'Rowan']"
3931,golden casket,,Yes,NFS,80000,Crafting,,Not for sale,housewares,Folk Craft Decor,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldCoffin.png,"['Klaus', 'Moe', 'Ankha', 'Lucky', 'Diva', 'Clay', 'Samson', 'Rod', 'Pierce', 'Mira', 'Static', 'Rowan']"
3932,golden gear apparatus,,Yes,NFS,21125,Crafting,,Not for sale,housewares,Facility Decor,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldGearVertical.png,"['Phil', 'Dom', 'Rowan']"
3933,golden gear tower,,Yes,NFS,21500,Crafting,,Not for sale,housewares,Facility Decor,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldGearHorizontal.png,"['Phil', 'Dom', 'Rowan']"
3934,golden meter and pipes,,Yes,NFS,21150,Crafting,,Not for sale,housewares,Facility Decor,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldBulb.png,"['Grizzly', 'Phil']"
3935,golden plate armor,,Yes,NFS,23750,Crafting,,Not for sale,housewares,Folk Craft Decor,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldArmor.png,"['Grizzly', 'Monique', 'Pudge', 'Elvis', 'Pierce', 'Rowan']"
3936,golden samurai suit,,Yes,NFS,57500,Crafting,,Not for sale,housewares,Japanese Style,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldArmorHelmetJapan.png,"['Pudge', 'Rowan']"
3937,golden seat,,Yes,NFS,50000,Crafting,,Not for sale,housewares,Sofa,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldbench.png,"['Grizzly', 'Klaus', 'Ankha', 'Pudge', 'Drago', 'Lucky', 'Elvis', 'Rod', 'Gala', 'Rowan']"
3938,golden toilet,,Yes,NFS,60000,Crafting,,Not for sale,housewares,Toilet,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldWC.png,"['Pinky', 'Grizzly', 'Pudge', 'Lucky', 'Reneigh', 'Lionel', 'Pierce', 'Tiffany', 'Muffy', 'Rowan']"
3939,golden vase,,Yes,NFS,42500,Crafting,,Not for sale,housewares,Folk Craft Decor,False,False,https://acnhcdn.com/latest/FtrIcon/FtrGoldVaseLuxury.png,"['Grizzly', 'Klaus', 'Monique', 'Ankha', 'Pudge', 'Pekoe', 'Drago', 'Lucky', 'Elvis', 'Samson', 'Muffy', 'Rowan']"
3940,golf bag,"['Red', 'Green', 'Pink', 'Multicolor', 'Brown', 'Silver']",No,54000,13500,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",For sale,housewares,Sports,False,True,"['https://acnhcdn.com/latest/FtrIcon/FtrGolfbag_Remake_0_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrGolfbag_Remake_1_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrGolfbag_Remake_2_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrGolfbag_Remake_3_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrGolfbag_Remake_4_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrGolfbag_Remake_5_0.png']","['Peck', 'Tad', 'Pierce']"
3941,gong,Brown,Yes,NFS,5100,Crafting,,Not for sale,housewares,Musical Instrument,True,True,https://acnhcdn.com/latest/FtrIcon/FtrTamtam_Remake_0_0.png,"['T-Bone', 'Becky', 'Marlo', 'Faith', 'Tiansheng']"
3942,grand Atlas moth model,[nan],No,NFS,9000,Flick,Trade 3 insects to receive a model in the mail the next day,Not for sale,housewares,Insect,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrInsectYonagunisanToy.png'],
3943,grand b. dragonfly model,[nan],No,NFS,13500,Flick,Trade 3 insects to receive a model in the mail the next day,Not for sale,housewares,Insect,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrInsectOniyanmaToy.png'],
3944,grand piano,"['Black', 'White', 'Walnut', 'Cherry']",No,260000,65000,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",For sale,housewares,Musical Instrument,False,True,"['https://acnhcdn.com/latest/FtrIcon/FtrPianoGrand_Remake_0_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrPianoGrand_Remake_1_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrPianoGrand_Remake_2_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrPianoGrand_Remake_3_0.png']","['Olaf', 'Robin', 'Monique', 'Pudge', 'Judy', 'Becky', 'Fauna', 'Huck', 'Nan', 'Julian', 'Faith', 'Eugene', 'Celia', 'Chops', 'Gabi', 'Rhonda', 'Vesta', 'Baabara', 'Pecan', 'Claudia']"
3945,grand Q. A. birdwing model,[nan],No,NFS,12000,Flick,Trade 3 insects to receive a model in the mail the next day,Not for sale,housewares,Insect,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrInsectArekisandoratoribaneagehaToy.png'],
3946,grass standee,Spring,Yes,NFS,480,Crafting,,Not for sale,housewares,School,True,True,https://acnhcdn.com/latest/FtrIcon/FtrHariboteGrass_Remake_0_0.png,"['Gayle', 'Beau', 'Chelsea', 'Biskit', 'Mac', 'Prince', 'Rodney', 'Savannah', 'Melba', 'Rex', 'Baabara', 'Sheldon']"
3947,green-leaf pile,,Yes,NFS,600,Crafting,,Not for sale,housewares,Plants,False,False,https://acnhcdn.com/latest/FtrIcon/FtrFallenleavesGreen.png,"['Ike', 'Charlise', 'Beardo', 'Vic', 'Chester', 'Norma', 'Sly', 'Gayle', 'Chelsea', 'Biskit', 'Camofrog', 'Louie', 'Soleil', 'Yuka', 'Spork', 'Dotty', 'Coco', 'Azalea', 'Sally']"
3948,greenhouse box,,No,17000,4250,Nook's Cranny; HHP Office,,For sale,housewares,Plants,False,False,https://acnhcdn.com/latest/FtrIcon/FtrPlantshelf.png,"['Ursala', 'Charlise', 'Beardo', 'Rodeo', 'Norma', 'Bea', 'Pashmina', 'Rocket', 'Savannah', 'Yuka', 'Dora', 'Amelia', 'Aurora', 'Maggie', 'Dotty', 'Azalea']"
3949,gurney,Blue,No,3000,750,Nook's Cranny; HHP Office,,For sale,housewares,Bed,False,True,https://acnhcdn.com/latest/FtrIcon/FtrStretcher_Remake_0_0.png,"['Tabby', 'Roswell', 'Hopper', 'Sheldon', 'Hospital']"
3950,hammock,"['Brown + Colorful', 'Brown + Camouflage', 'Brown + Hibiscus flowers', 'Brown + White', 'Light brown + Colorful', 'Light brown + Camouflage', 'Light brown + Hibiscus flowers', 'Light brown + White', 'Yellow + Colorful', 'Yellow + Camouflage', 'Yellow + Hibiscus flowers', 'Yellow + White', 'Blue + Colorful', 'Blue + Camouflage', 'Blue + Hibiscus flowers', 'Blue + White', 'Pink + Colorful', 'Pink + Camouflage', 'Pink + Hibiscus flowers', 'Pink + White', 'White + Colorful', 'White + Camouflage', 'White + Hibiscus flowers', 'White + White', 'Black + Colorful', 'Black + Camouflage', 'Black + Hibiscus flowers', 'Black + White']",No,1300,325,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",For sale,housewares,Bed,True,True,"['https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_0_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_0_1.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_0_2.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_0_3.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_1_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_1_1.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_1_2.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_1_3.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_2_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_2_1.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_2_2.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_2_3.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_3_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_3_1.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_3_2.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_3_3.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_4_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_4_1.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_4_2.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_4_3.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_5_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_5_1.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_5_2.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_5_3.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_6_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_6_1.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_6_2.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHammock_Remake_6_3.png']","['Jacob', 'Bob', 'Maple', 'Stitches', 'Plucky', 'Patty', 'Alfonso', 'Alli', 'Gayle', 'Deirdre', 'Beau', 'Biskit', 'Walker', 'Mac', 'Pompom', 'Jeremiah', 'Billy', 'Louie', 'Rocket', 'Soleil', 'Gonzo', 'Mathilda', 'Rory', 'Nana', 'Rod', 'Octavian', 'Spork', 'Curlos', 'Sally', 'Cally']"
3951,handcart,"['Green', 'Blue', 'Brown', 'Yellow', 'Red', 'Silver']",No,1900,475,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Ranch,False,True,"['https://acnhcdn.com/latest/FtrIcon/FtrHandcart_Remake_0_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHandcart_Remake_1_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHandcart_Remake_2_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHandcart_Remake_3_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHandcart_Remake_4_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHandcart_Remake_5_0.png']","['Cyrano', 'Vladimir', 'Tipper', 'Boots', 'Benjamin', 'Tucker', 'Cesar', 'Boyd', 'Rocco', 'Winnie', 'Dora', 'Limberg', 'Broccolo', 'Cranston']"
3952,handwashing area,Beige,No,5700,1425,Nook's Cranny; HHP Office,,For sale,housewares,Garden,False,True,https://acnhcdn.com/latest/FtrIcon/FtrLavatory_Remake_0_0.png,"['Jitters', 'Coach', 'Biskit', 'Mac', 'Henry', 'Boyd', 'Al', 'Sylvia', 'Rooney', 'Bud', 'Rex', 'Leopold', 'Flip', 'Dora', 'Moose', 'Zucker', 'Maggie', 'Renée', 'Skye', 'School']"
3953,hanger rack,Silver,No,3100,775,Nook's Cranny; HHP Office,,For sale,housewares,Shelf,False,True,https://acnhcdn.com/latest/FtrIcon/FtrHangerrack_Remake_0_0.png,"['Teddy', 'Raymond', 'Cherry', 'Maelle', 'Molly', 'Margie', 'Kidd', 'Bitty', 'Sylvia', 'Sandy', 'Quinn', 'Truffles', 'Tank', 'Spike', 'Cally', 'Apparel Shop']"
3954,hanging clothing rack,Light wood,No,8500,2125,Nook's Cranny; HHP Office,,For sale,housewares,Shelf,False,True,https://acnhcdn.com/latest/FtrIcon/FtrHangerrackShelf_Remake_0_0.png,"['Midge', 'Olivia', 'Raymond', 'Portia', 'Cherry', 'Maelle', 'Gloria', 'Quillson', 'Margie', 'Cyd', 'Gigi', 'Quinn', 'Gwen', 'Bunnie', 'Francine', 'Spike', 'Baabara', 'Bangle', 'Apparel Shop']"
3955,harp,"['Brown', 'Light brown', 'Dark brown', 'White', 'Black']",No,130000,32500,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",For sale,housewares,Musical Instrument,False,True,"['https://acnhcdn.com/latest/FtrIcon/FtrHarp_Remake_0_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHarp_Remake_1_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHarp_Remake_2_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHarp_Remake_3_0.png', 'https://acnhcdn.com/latest/FtrIcon/FtrHarp_Remake_4_0.png']","['Robin', 'Monique', 'Judy', 'Becky', 'Fauna', 'Portia', 'Faith', 'Samson', 'Penelope', 'Tiffany', 'Rhonda']"
3956,hay bed,Brown,Yes,NFS,400,Crafting,,Not for sale,housewares,Bed,True,True,https://acnhcdn.com/latest/FtrIcon/FtrHaybed_Remake_0_0.png,"['Vic', 'Poncho', 'Patty', 'Tipper', 'Norma', 'Boots', 'Roswell', 'Gayle', 'Butch', 'Lucky', 'Benjamin', 'Chai', 'Lily', 'Billy', 'Boone', 'Savannah', 'Winnie', 'Lyman', 'Limberg', 'Samson', 'Broccolo', 'Avery', 'Chabwick', 'Dotty', 'Coco']"
3957,hearth,,Yes,NFS,5470,Crafting,,Not for sale,housewares,Japanese Style,False,False,https://acnhcdn.com/latest/FtrIcon/FtrIrori.png,"['Admiral', 'Angus', 'T-Bone', 'Ken', 'Benjamin', 'Hamphrey', 'Walt', 'Limberg', 'Gladys', 'Cranston', 'Blanche', 'Buzz', 'Toby', 'Eunice', 'Wendy', 'Lobo']"
3958,hedge standee,Spring,Yes,NFS,600,Crafting,,Not for sale,housewares,School,True,True,https://acnhcdn.com/latest/FtrIcon/FtrHariboteHedge_Remake_0_0.png,"['Chelsea', 'Biskit', 'Prince', 'Rodney', 'Melba', 'Rex', 'Baabara', 'Sheldon']"
3959,Hello Kitty bed,[nan],No,5000,1250,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,Not in catalog,housewares,Hello Kitty,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrSanrioKtyBedS.png'],['Rilla']
3960,Hello Kitty chair,[nan],No,2100,525,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,Not in catalog,housewares,Hello Kitty,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrSanrioKtyChairS.png'],['Rilla']
3961,Hello Kitty drawers,[nan],No,3000,750,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,Not in catalog,housewares,Hello Kitty,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrSanrioKtyChest.png'],['Rilla']
3962,Hello Kitty table,[nan],No,5000,1250,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,Not in catalog,housewares,Hello Kitty,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrSanrioKtyTableL.png'],['Rilla']
3963,hi-fi stereo,[nan],No,82000,20500,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",For sale,housewares,Audio,False,False,['https://acnhcdn.com/latest/FtrIcon/FtrComponentHighclass.png'],"['Olaf', 'Pudge', 'Zell', 'Lopez', 'Portia', 'Frett', 'Cherry', 'Weber', 'Miranda', 'Nan', 'Faith', 'Eugene', 'Simon', 'Pierce', 'Friga', 'Tex', 'Boris', 'Chops', 'Tiffany', 'Rhonda', 'Baabara', 'Apparel Shop']"
3964,high chair,Natural wood,No,2400,600,Nook's Cranny; HHP Office,,For sale,housewares,Chair,True,True,https://acnhcdn.com/latest/FtrIcon/FtrBabychairHigh_Remake_0_0.png,"['Mathilda', 'Carrie', 'Sylvia', 'Marcie', 'Vesta', 'Fang']"
